,n_patients,current_n_patients,alpha,target_power,observed_dice,null_mean_dice,jackknife_se,delta_dice,z_approx,z_expected,approx_power,required_n_analytic,required_n_from_candidates
0,11,11,0.005,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,3.672963594210618,0.8637086538714018,10.0,11.0
1,12,11,0.005,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,3.8362853573447957,0.8962475541998953,10.0,11.0
2,14,11,0.005,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,4.143661774341759,0.9415398825896314,10.0,11.0
3,16,11,0.005,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,4.429760767502475,0.9681255171033152,10.0,11.0
4,18,11,0.005,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,4.698470816602688,0.9831080482557639,10.0,11.0
5,20,11,0.005,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,4.952623100098587,0.9912680761309585,10.0,11.0
6,22,11,0.005,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,5.194354929035285,0.9955844670770185,10.0,11.0
7,24,11,0.005,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,5.425326781490326,0.997810582354,10.0,11.0
8,26,11,0.005,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,5.646859148510718,0.9989333908649637,10.0,11.0
9,28,11,0.005,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,5.86002267916108,0.9994886263949384,10.0,11.0
10,30,11,0.005,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,6.065699741781258,0.9997583726121095,10.0,11.0
11,32,11,0.005,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,6.26462775547025,0.9998873421926232,10.0,11.0
12,34,11,0.005,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,6.4574304852449815,0.999948114520173,10.0,11.0
13,36,11,0.005,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,6.644641151253712,0.9999763732572073,10.0,11.0
14,38,11,0.005,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,6.826719826248713,0.9999893538884349,10.0,11.0
15,40,11,0.005,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,7.004066757481705,0.9999952496862838,10.0,11.0
16,42,11,0.005,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,7.177032722540932,0.9999978997152726,10.0,11.0
17,44,11,0.005,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,7.345927188421236,0.9999990793179057,10.0,11.0
18,46,11,0.005,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,7.511024817876009,0.9999995996474614,10.0,11.0
19,48,11,0.005,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,7.672570714689591,0.9999998272250871,10.0,11.0
