,n_patients,current_n_patients,alpha,target_power,observed_dice,null_mean_dice,jackknife_se,delta_dice,z_approx,z_expected,approx_power,required_n_analytic,required_n_from_candidates
0,11,11,0.001,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,3.672963594210618,0.7199628964429712,13.0,14.0
1,12,11,0.001,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,3.8362853573447957,0.7721823157300893,13.0,14.0
2,14,11,0.001,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,4.143661774341759,0.8539278978269451,13.0,14.0
3,16,11,0.001,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,4.429760767502475,0.9098006523230853,13.0,14.0
4,18,11,0.001,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,4.698470816602688,0.9461085240667407,13.0,14.0
5,20,11,0.001,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,4.952623100098587,0.968725987078211,13.0,14.0
6,22,11,0.001,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,5.194354929035285,0.9823161240423662,13.0,14.0
7,24,11,0.001,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,5.425326781490326,0.9902307570618873,13.0,14.0
8,26,11,0.001,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,5.646859148510718,0.9947153735110305,13.0,14.0
9,28,11,0.001,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,5.86002267916108,0.9971953809609675,13.0,14.0
10,30,11,0.001,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,6.065699741781258,0.9985372879604959,13.0,14.0
11,32,11,0.001,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,6.26462775547025,0.9992492551386437,13.0,14.0
12,34,11,0.001,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,6.4574304852449815,0.9996203195140129,13.0,14.0
13,36,11,0.001,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,6.644641151253712,0.9998105850963893,13.0,14.0
14,38,11,0.001,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,6.826719826248713,0.9999066956469203,13.0,14.0
15,40,11,0.001,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,7.004066757481705,0.9999545790357564,13.0,14.0
16,42,11,0.001,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,7.177032722540932,0.999978131847481,13.0,14.0
17,44,11,0.001,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,7.345927188421236,0.9999895799625302,13.0,14.0
18,46,11,0.001,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,7.511024817876009,0.9999950830216829,13.0,14.0
19,48,11,0.001,0.8,0.12147335423197492,0.014704545454545453,0.02906884482757197,0.10676880877742946,3.672963594210618,7.672570714689591,0.9999977009750272,13.0,14.0
